image_id	image_path	level	mode	image_idx	node_id	label	prompt_text	path_labels	clip_cosine
004642.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\004642.jpg	5	raw	135	tm-sqydxkbw	abattage du cochon	abattage du cochon	sujet -> agriculture, artisanat et commerce, vie quotidienne, calendrier -> calendrier (sujets) -> mois de décembre -> abattage du cochon	0.13903379440307617
004642.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\004642.jpg	5	template	135	tm-sqydxkbw	abattage du cochon	a religious painting of abattage du cochon	sujet -> agriculture, artisanat et commerce, vie quotidienne, calendrier -> calendrier (sujets) -> mois de décembre -> abattage du cochon	0.21140527725219727
004970.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\004970.jpg	5	path	143	tm-zs8428gj	présentation de la Vierge au temple	a religious painting of présentation de la Vierge au temple, a vie de la Vierge in sujet	sujet -> Bible -> Nouveau Testament -> vie de la Vierge -> présentation de la Vierge au temple	0.2420831024646759
004970.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\004970.jpg	5	raw	143	tm-zs8428gj	présentation de la Vierge au temple	présentation de la Vierge au temple	sujet -> Bible -> Nouveau Testament -> vie de la Vierge -> présentation de la Vierge au temple	0.217616006731987
004970.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\004970.jpg	5	template	143	tm-zs8428gj	présentation de la Vierge au temple	a religious painting of présentation de la Vierge au temple	sujet -> Bible -> Nouveau Testament -> vie de la Vierge -> présentation de la Vierge au temple	0.24544307589530945
005629.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\005629.jpg	5	path	159	tm-dmudb66c	funérailles de la Vierge	a religious painting of funérailles de la Vierge, a vie de la Vierge in sujet	sujet -> Bible -> Nouveau Testament -> vie de la Vierge -> funérailles de la Vierge	0.28520721197128296
005629.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\005629.jpg	5	raw	159	tm-dmudb66c	funérailles de la Vierge	funérailles de la Vierge	sujet -> Bible -> Nouveau Testament -> vie de la Vierge -> funérailles de la Vierge	0.22302961349487305
005629.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\005629.jpg	5	template	159	tm-dmudb66c	funérailles de la Vierge	a religious painting of funérailles de la Vierge	sujet -> Bible -> Nouveau Testament -> vie de la Vierge -> funérailles de la Vierge	0.2744219899177551
006199.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\006199.jpg	5	path	178	tm-ec7e7dqn	couronnement de la Vierge	a religious painting of couronnement de la Vierge, a vie de la Vierge in sujet	sujet -> Bible -> Nouveau Testament -> vie de la Vierge -> couronnement de la Vierge	0.288279265165329
006199.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\006199.jpg	5	raw	178	tm-ec7e7dqn	couronnement de la Vierge	couronnement de la Vierge	sujet -> Bible -> Nouveau Testament -> vie de la Vierge -> couronnement de la Vierge	0.25881141424179077
006199.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\006199.jpg	5	template	178	tm-ec7e7dqn	couronnement de la Vierge	a religious painting of couronnement de la Vierge	sujet -> Bible -> Nouveau Testament -> vie de la Vierge -> couronnement de la Vierge	0.292632520198822
006352.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\006352.jpg	5	path	184	tm-njjpkgow	présentation de Samuel au temple	a religious painting of présentation de Samuel au temple, a Samuel (sujets) in sujet	sujet -> Bible -> Ancien Testament -> Samuel (sujets) -> présentation de Samuel au temple	0.2970905900001526
006352.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\006352.jpg	5	raw	184	tm-njjpkgow	présentation de Samuel au temple	présentation de Samuel au temple	sujet -> Bible -> Ancien Testament -> Samuel (sujets) -> présentation de Samuel au temple	0.24517688155174255
006352.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\006352.jpg	5	template	184	tm-njjpkgow	présentation de Samuel au temple	a religious painting of présentation de Samuel au temple	sujet -> Bible -> Ancien Testament -> Samuel (sujets) -> présentation de Samuel au temple	0.2793180048465729
008074.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\008074.jpg	5	path	232	tm-xx9rtbsx	annonciation à la Vierge	a religious painting of annonciation à la Vierge, a vie de la Vierge in sujet	sujet -> Bible -> Nouveau Testament -> vie de la Vierge -> annonciation à la Vierge	0.2782859802246094
008074.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\008074.jpg	5	raw	232	tm-xx9rtbsx	annonciation à la Vierge	annonciation à la Vierge	sujet -> Bible -> Nouveau Testament -> vie de la Vierge -> annonciation à la Vierge	0.2474496066570282
008074.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\008074.jpg	5	template	232	tm-xx9rtbsx	annonciation à la Vierge	a religious painting of annonciation à la Vierge	sujet -> Bible -> Nouveau Testament -> vie de la Vierge -> annonciation à la Vierge	0.2818622589111328
009356.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\009356.jpg	5	path	265	tm-qqypkucs	zodiaque-sagittaire (homme, animal, nature)	a religious painting of zodiaque-sagittaire (homme, animal, nature), a zodiaque (sujets) in sujet	sujet -> homme, animal, nature -> nature -> zodiaque (sujets) -> zodiaque-sagittaire (homme, animal, nature)	0.27666452527046204
009356.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\009356.jpg	5	raw	265	tm-qqypkucs	zodiaque-sagittaire (homme, animal, nature)	zodiaque-sagittaire (homme, animal, nature)	sujet -> homme, animal, nature -> nature -> zodiaque (sujets) -> zodiaque-sagittaire (homme, animal, nature)	0.18443185091018677
009356.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\009356.jpg	5	template	265	tm-qqypkucs	zodiaque-sagittaire (homme, animal, nature)	a religious painting of zodiaque-sagittaire (homme, animal, nature)	sujet -> homme, animal, nature -> nature -> zodiaque (sujets) -> zodiaque-sagittaire (homme, animal, nature)	0.25645381212234497
014003.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\014003.jpg	5	path	349	tm-4pk33pw5	visitation	a religious painting of visitation, a vie de la Vierge in sujet	sujet -> Bible -> Nouveau Testament -> vie de la Vierge -> visitation	0.3087462782859802
014003.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\014003.jpg	5	raw	349	tm-4pk33pw5	visitation	visitation	sujet -> Bible -> Nouveau Testament -> vie de la Vierge -> visitation	0.276585191488266
014003.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\014003.jpg	5	template	349	tm-4pk33pw5	visitation	a religious painting of visitation	sujet -> Bible -> Nouveau Testament -> vie de la Vierge -> visitation	0.30194926261901855
014425.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\014425.jpg	5	path	354	tm-zs8428gj	présentation de la Vierge au temple	a religious painting of présentation de la Vierge au temple, a vie de la Vierge in sujet	sujet -> Bible -> Nouveau Testament -> vie de la Vierge -> présentation de la Vierge au temple	0.21923062205314636
014425.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\014425.jpg	5	raw	354	tm-zs8428gj	présentation de la Vierge au temple	présentation de la Vierge au temple	sujet -> Bible -> Nouveau Testament -> vie de la Vierge -> présentation de la Vierge au temple	0.18916141986846924
014425.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\014425.jpg	5	template	354	tm-zs8428gj	présentation de la Vierge au temple	a religious painting of présentation de la Vierge au temple	sujet -> Bible -> Nouveau Testament -> vie de la Vierge -> présentation de la Vierge au temple	0.21775299310684204
