image_idx	image_path	image_id	level	mode	node_id	label	prompt_text	path_labels	clip_cosine
47	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001777.jpg	001777.jpg	6	path	tm-ytphytj3	sept coupes de l'Apocalypse : fléaux	a religious painting of sept coupes de l'Apocalypse : fléaux, a sept coupes de l'Apocalypse in sujet	sujet -> Bible -> Nouveau Testament -> Apocalypse -> sept coupes de l'Apocalypse -> sept coupes de l'Apocalypse : fléaux	0.2969251275062561
48	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001802.jpg	001802.jpg	6	raw	tm-feckmfoe	défaite de la Bête de l'Apocalypse	défaite de la Bête de l'Apocalypse	sujet -> Bible -> Nouveau Testament -> Apocalypse -> triomphe du Christ -> défaite de la Bête de l'Apocalypse	0.19234441220760345
48	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001802.jpg	001802.jpg	6	template	tm-feckmfoe	défaite de la Bête de l'Apocalypse	a religious painting of défaite de la Bête de l'Apocalypse	sujet -> Bible -> Nouveau Testament -> Apocalypse -> triomphe du Christ -> défaite de la Bête de l'Apocalypse	0.2844974398612976
48	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001802.jpg	001802.jpg	6	path	tm-feckmfoe	défaite de la Bête de l'Apocalypse	a religious painting of défaite de la Bête de l'Apocalypse, a triomphe du Christ in sujet	sujet -> Bible -> Nouveau Testament -> Apocalypse -> triomphe du Christ -> défaite de la Bête de l'Apocalypse	0.25273415446281433
51	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001912.jpg	001912.jpg	6	raw	tm-wjlzmegu	combat entre saint Michel et le dragon de l'Apocalypse	combat entre saint Michel et le dragon de l'Apocalypse	sujet -> Bible -> Nouveau Testament -> Apocalypse -> dragon et bête de l'Apocalypse -> combat entre saint Michel et le dragon de l'Apocalypse	0.3102571964263916
51	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001912.jpg	001912.jpg	6	template	tm-wjlzmegu	combat entre saint Michel et le dragon de l'Apocalypse	a religious painting of combat entre saint Michel et le dragon de l'Apocalypse	sujet -> Bible -> Nouveau Testament -> Apocalypse -> dragon et bête de l'Apocalypse -> combat entre saint Michel et le dragon de l'Apocalypse	0.3195633888244629
51	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001912.jpg	001912.jpg	6	path	tm-wjlzmegu	combat entre saint Michel et le dragon de l'Apocalypse	a religious painting of combat entre saint Michel et le dragon de l'Apocalypse, a dragon et bête de l'Apocalypse in sujet	sujet -> Bible -> Nouveau Testament -> Apocalypse -> dragon et bête de l'Apocalypse -> combat entre saint Michel et le dragon de l'Apocalypse	0.3287068009376526
61	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\002245.jpg	002245.jpg	6	raw	tm-frszntoo	Pentecôte	Pentecôte	sujet -> Bible -> Nouveau Testament -> vie du Christ -> résurrection (sujets) -> Pentecôte	0.1594971865415573
61	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\002245.jpg	002245.jpg	6	template	tm-frszntoo	Pentecôte	a religious painting of Pentecôte	sujet -> Bible -> Nouveau Testament -> vie du Christ -> résurrection (sujets) -> Pentecôte	0.2842465043067932
61	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\002245.jpg	002245.jpg	6	path	tm-frszntoo	Pentecôte	a religious painting of Pentecôte, a résurrection (sujets) in sujet	sujet -> Bible -> Nouveau Testament -> vie du Christ -> résurrection (sujets) -> Pentecôte	0.2893252372741699
62	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\002269.jpg	002269.jpg	6	raw	tm-twnfftbh	psaume 81 : David musicien	psaume 81 : David musicien	sujet -> Bible -> Ancien Testament -> les Rois -> David (sujets) -> psaume 81 : David musicien	0.16184072196483612
62	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\002269.jpg	002269.jpg	6	template	tm-twnfftbh	psaume 81 : David musicien	a religious painting of psaume 81 : David musicien	sujet -> Bible -> Ancien Testament -> les Rois -> David (sujets) -> psaume 81 : David musicien	0.24387900531291962
62	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\002269.jpg	002269.jpg	6	path	tm-twnfftbh	psaume 81 : David musicien	a religious painting of psaume 81 : David musicien, a David (sujets) in sujet	sujet -> Bible -> Ancien Testament -> les Rois -> David (sujets) -> psaume 81 : David musicien	0.2780698537826538
63	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\002302.jpg	002302.jpg	6	raw	tm-vl6ccqxy	sixième sceau de l'Apocalypse : tremblement de terre, chute des astres	sixième sceau de l'Apocalypse : tremblement de terre, chute des astres	sujet -> Bible -> Nouveau Testament -> Apocalypse -> ouverture des sept sceaux -> sixième sceau de l'Apocalypse : tremblement de terre, chute des astres	0.1974642276763916
63	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\002302.jpg	002302.jpg	6	template	tm-vl6ccqxy	sixième sceau de l'Apocalypse : tremblement de terre, chute des astres	a religious painting of sixième sceau de l'Apocalypse : tremblement de terre, chute des astres	sujet -> Bible -> Nouveau Testament -> Apocalypse -> ouverture des sept sceaux -> sixième sceau de l'Apocalypse : tremblement de terre, chute des astres	0.31165003776550293
63	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\002302.jpg	002302.jpg	6	path	tm-vl6ccqxy	sixième sceau de l'Apocalypse : tremblement de terre, chute des astres	a religious painting of sixième sceau de l'Apocalypse : tremblement de terre, chute des astres, a ouverture des sept sceaux in sujet	sujet -> Bible -> Nouveau Testament -> Apocalypse -> ouverture des sept sceaux -> sixième sceau de l'Apocalypse : tremblement de terre, chute des astres	0.31608378887176514
73	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\002595.jpg	002595.jpg	6	raw	tm-6xfensro	apparition du Christ aux apôtres	apparition du Christ aux apôtres	sujet -> Bible -> Nouveau Testament -> vie du Christ -> résurrection (sujets) -> apparition du Christ aux apôtres	0.28602084517478943
73	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\002595.jpg	002595.jpg	6	template	tm-6xfensro	apparition du Christ aux apôtres	a religious painting of apparition du Christ aux apôtres	sujet -> Bible -> Nouveau Testament -> vie du Christ -> résurrection (sujets) -> apparition du Christ aux apôtres	0.2832247316837311
73	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\002595.jpg	002595.jpg	6	path	tm-6xfensro	apparition du Christ aux apôtres	a religious painting of apparition du Christ aux apôtres, a résurrection (sujets) in sujet	sujet -> Bible -> Nouveau Testament -> vie du Christ -> résurrection (sujets) -> apparition du Christ aux apôtres	0.2857215404510498
76	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\002671.jpg	002671.jpg	6	raw	tm-jbk9lrul	adoration des mages	adoration des mages	sujet -> Bible -> Nouveau Testament -> vie du Christ -> enfance -> adoration des mages	0.27320992946624756
76	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\002671.jpg	002671.jpg	6	template	tm-jbk9lrul	adoration des mages	a religious painting of adoration des mages	sujet -> Bible -> Nouveau Testament -> vie du Christ -> enfance -> adoration des mages	0.2531256377696991
76	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\002671.jpg	002671.jpg	6	path	tm-jbk9lrul	adoration des mages	a religious painting of adoration des mages, a enfance in sujet	sujet -> Bible -> Nouveau Testament -> vie du Christ -> enfance -> adoration des mages	0.26835915446281433
77	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\002698.jpg	002698.jpg	6	raw	tm-ipxuypcf	Christ et les docteurs	Christ et les docteurs	sujet -> Bible -> Nouveau Testament -> vie du Christ -> enfance -> Christ et les docteurs	0.2733615040779114
77	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\002698.jpg	002698.jpg	6	template	tm-ipxuypcf	Christ et les docteurs	a religious painting of Christ et les docteurs	sujet -> Bible -> Nouveau Testament -> vie du Christ -> enfance -> Christ et les docteurs	0.28593897819519043
77	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\002698.jpg	002698.jpg	6	path	tm-ipxuypcf	Christ et les docteurs	a religious painting of Christ et les docteurs, a enfance in sujet	sujet -> Bible -> Nouveau Testament -> vie du Christ -> enfance -> Christ et les docteurs	0.3003930449485779
79	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\002749.jpg	002749.jpg	6	raw	tm-sgsqrkgw	première résurrection	première résurrection	sujet -> Bible -> Nouveau Testament -> Apocalypse -> triomphe du Christ -> première résurrection	0.18860489130020142
79	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\002749.jpg	002749.jpg	6	template	tm-sgsqrkgw	première résurrection	a religious painting of première résurrection	sujet -> Bible -> Nouveau Testament -> Apocalypse -> triomphe du Christ -> première résurrection	0.2857123613357544
79	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\002749.jpg	002749.jpg	6	path	tm-sgsqrkgw	première résurrection	a religious painting of première résurrection, a triomphe du Christ in sujet	sujet -> Bible -> Nouveau Testament -> Apocalypse -> triomphe du Christ -> première résurrection	0.26811838150024414
80	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\002788.jpg	002788.jpg	6	raw	tm-hzyurlkd	Moïse et le serpent d'airain	Moïse et le serpent d'airain	sujet -> Bible -> Ancien Testament -> Exode -> Moïse (sujets) -> Moïse et le serpent d'airain	0.2306976467370987
80	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\002788.jpg	002788.jpg	6	template	tm-hzyurlkd	Moïse et le serpent d'airain	a religious painting of Moïse et le serpent d'airain	sujet -> Bible -> Ancien Testament -> Exode -> Moïse (sujets) -> Moïse et le serpent d'airain	0.30136388540267944
80	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\002788.jpg	002788.jpg	6	path	tm-hzyurlkd	Moïse et le serpent d'airain	a religious painting of Moïse et le serpent d'airain, a Moïse (sujets) in sujet	sujet -> Bible -> Ancien Testament -> Exode -> Moïse (sujets) -> Moïse et le serpent d'airain	0.2962725758552551
81	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\002814.jpg	002814.jpg	6	raw	tm-labqwtqc	Cène	Cène	sujet -> Bible -> Nouveau Testament -> vie du Christ -> passion -> Cène	0.2207585722208023
81	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\002814.jpg	002814.jpg	6	template	tm-labqwtqc	Cène	a religious painting of Cène	sujet -> Bible -> Nouveau Testament -> vie du Christ -> passion -> Cène	0.28854915499687195
81	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\002814.jpg	002814.jpg	6	path	tm-labqwtqc	Cène	a religious painting of Cène, a passion in sujet	sujet -> Bible -> Nouveau Testament -> vie du Christ -> passion -> Cène	0.29017049074172974
83	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\002878.jpg	002878.jpg	6	raw	tm-a82fhexi	entrée du Christ à Jérusalem	entrée du Christ à Jérusalem	sujet -> Bible -> Nouveau Testament -> vie du Christ -> passion -> entrée du Christ à Jérusalem	0.19511444866657257
83	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\002878.jpg	002878.jpg	6	template	tm-a82fhexi	entrée du Christ à Jérusalem	a religious painting of entrée du Christ à Jérusalem	sujet -> Bible -> Nouveau Testament -> vie du Christ -> passion -> entrée du Christ à Jérusalem	0.26916006207466125
83	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\002878.jpg	002878.jpg	6	path	tm-a82fhexi	entrée du Christ à Jérusalem	a religious painting of entrée du Christ à Jérusalem, a passion in sujet	sujet -> Bible -> Nouveau Testament -> vie du Christ -> passion -> entrée du Christ à Jérusalem	0.2710316777229309
