Image	image_filename	image_path	all_timel_ids_str	level_5_n	level_5_ids_str	level_5_labels_str	level_6_n	level_6_ids_str	level_6_labels_str	timel_labels	timel_labels_list	timel_ids	timel_ids_list
003971.jpg	003971.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\003971.jpg	tm-hy6j8pvu; tm-57k3cc22; tm-nnwxmemz; tm-i6z6pybr; tm-evzlan58; tm-ivsdfebq; tm-z78apcet; tm-pxph757a; tm-2ujduhzq; tm-iyfbjxvj; tm-pz7m22nl; tm-aovfxbwf; tm-eqnskbnq; tm-ssrd3vfj; 6; 8; 57; 3; 22; 58; 78; 757; 2; 7	0			0			bourreau;potence;corde;bannière;heaume;épée;bouclier;mort (thème);prière;décapitation;pendaison;meurtre;arbre;sang	"[""bourreau"", ""potence"", ""corde"", ""bannière"", ""heaume"", ""épée"", ""bouclier"", ""mort (thème)"", ""prière"", ""décapitation"", ""pendaison"", ""meurtre"", ""arbre"", ""sang""]"	tm-hy6j8pvu;tm-57k3cc22;tm-nnwxmemz;tm-i6z6pybr;tm-evzlan58;tm-ivsdfebq;tm-z78apcet;tm-pxph757a;tm-2ujduhzq;tm-iyfbjxvj;tm-pz7m22nl;tm-aovfxbwf;tm-eqnskbnq;tm-ssrd3vfj	"[""tm-hy6j8pvu"", ""tm-57k3cc22"", ""tm-nnwxmemz"", ""tm-i6z6pybr"", ""tm-evzlan58"", ""tm-ivsdfebq"", ""tm-z78apcet"", ""tm-pxph757a"", ""tm-2ujduhzq"", ""tm-iyfbjxvj"", ""tm-pz7m22nl"", ""tm-aovfxbwf"", ""tm-eqnskbnq"", ""tm-ssrd3vfj""]"
004060.jpg	004060.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\004060.jpg	tm-5k7jsvqx; tm-h5p48lfk; tm-veuriuen; tm-l2zebbrf; tm-4a7uh6qs; tm-brqtzl8a; tm-qpyshudm; tm-z78apcet; tm-cpdgl5r4; tm-fap2uw3x; tm-zxmvxnnw; tm-t3eufvzb; tm-pxph757a; tm-pz7m22nl; tm-eqnskbnq; tm-vwtmvvfn; tm-6vklquup; 5; 7; 48; 2; 4; 6; 8; 78; 3; 757; 22	0			1	tm-zxmvxnnw	Joab tuant Absalom	cavalier;soldat;conseiller;colonne;casque;lance;armure;bouclier;écrit;harnachement;Joab tuant Absalom;parole;mort (thème);pendaison;arbre;cheval;cheveux	"[""cavalier"", ""soldat"", ""conseiller"", ""colonne"", ""casque"", ""lance"", ""armure"", ""bouclier"", ""écrit"", ""harnachement"", ""Joab tuant Absalom"", ""parole"", ""mort (thème)"", ""pendaison"", ""arbre"", ""cheval"", ""cheveux""]"	tm-5k7jsvqx;tm-h5p48lfk;tm-veuriuen;tm-l2zebbrf;tm-4a7uh6qs;tm-brqtzl8a;tm-qpyshudm;tm-z78apcet;tm-cpdgl5r4;tm-fap2uw3x;tm-zxmvxnnw;tm-t3eufvzb;tm-pxph757a;tm-pz7m22nl;tm-eqnskbnq;tm-vwtmvvfn;tm-6vklquup	"[""tm-5k7jsvqx"", ""tm-h5p48lfk"", ""tm-veuriuen"", ""tm-l2zebbrf"", ""tm-4a7uh6qs"", ""tm-brqtzl8a"", ""tm-qpyshudm"", ""tm-z78apcet"", ""tm-cpdgl5r4"", ""tm-fap2uw3x"", ""tm-zxmvxnnw"", ""tm-t3eufvzb"", ""tm-pxph757a"", ""tm-pz7m22nl"", ""tm-eqnskbnq"", ""tm-vwtmvvfn"", ""tm-6vklquup""]"
004087.jpg	004087.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\004087.jpg	tm-wqg2nktt; tm-9f7oeyhm; tm-dgkdpcob; tm-sgdxywfz; tm-cuqtzlfj; tm-7qal9wnf; tm-5vghyucs; tm-mqvexyu4; tm-vmxb3wbp; tm-c7ettqjl; tm-hhc3rzec; tm-7autcna3; tm-2b3l84rp; tm-wzp38snl; tm-3puuk37w; tm-ufpdajh6; tm-zfb9n7ub; tm-pxph757a; tm-kc5ukqpv; tm-6m8nrco5; tm-59lgwa9m; tm-cnqvpb9d; tm-cw2gwrjp; tm-hvmbbgkw; tm-vhj2urqn; 2; 9; 7; 5; 4; 3; 84; 38; 37; 6; 757; 8; 59	0			0			ange;infirme;Tabita;saint Pierre;bâton;tissu;architecture;croix;fonts baptismaux;saint Pierre et la vision des bêtes impures descendant du ciel;saint Pierre ressuscitant Tabita;refus;infirmité;guérison;miracle;vision;résurrection;mort (thème);baptême;nudité;chien;animal terrestre;serpent;nuée;eau	"[""ange"", ""infirme"", ""Tabita"", ""saint Pierre"", ""bâton"", ""tissu"", ""architecture"", ""croix"", ""fonts baptismaux"", ""saint Pierre et la vision des bêtes impures descendant du ciel"", ""saint Pierre ressuscitant Tabita"", ""refus"", ""infirmité"", ""guérison"", ""miracle"", ""vision"", ""résurrection"", ""mort (thème)"", ""baptême"", ""nudité"", ""chien"", ""animal terrestre"", ""serpent"", ""nuée"", ""eau""]"	tm-wqg2nktt;tm-9f7oeyhm;tm-dgkdpcob;tm-sgdxywfz;tm-cuqtzlfj;tm-7qal9wnf;tm-5vghyucs;tm-mqvexyu4;tm-vmxb3wbp;tm-c7ettqjl;tm-hhc3rzec;tm-7autcna3;tm-2b3l84rp;tm-wzp38snl;tm-3puuk37w;tm-ufpdajh6;tm-zfb9n7ub;tm-pxph757a;tm-kc5ukqpv;tm-6m8nrco5;tm-59lgwa9m;tm-cnqvpb9d;tm-cw2gwrjp;tm-hvmbbgkw;tm-vhj2urqn	"[""tm-wqg2nktt"", ""tm-9f7oeyhm"", ""tm-dgkdpcob"", ""tm-sgdxywfz"", ""tm-cuqtzlfj"", ""tm-7qal9wnf"", ""tm-5vghyucs"", ""tm-mqvexyu4"", ""tm-vmxb3wbp"", ""tm-c7ettqjl"", ""tm-hhc3rzec"", ""tm-7autcna3"", ""tm-2b3l84rp"", ""tm-wzp38snl"", ""tm-3puuk37w"", ""tm-ufpdajh6"", ""tm-zfb9n7ub"", ""tm-pxph757a"", ""tm-kc5ukqpv"", ""tm-6m8nrco5"", ""tm-59lgwa9m"", ""tm-cnqvpb9d"", ""tm-cw2gwrjp"", ""tm-hvmbbgkw"", ""tm-vhj2urqn""]"
004115.jpg	004115.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\004115.jpg	tm-m73ggksu; 73	0			0			roue	"[""roue""]"	tm-m73ggksu	"[""tm-m73ggksu""]"
004147.jpg	004147.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\004147.jpg	tm-87an9pkp; tm-9kefvmxz; tm-6m8nrco5; tm-6vklquup; 87; 9; 6; 8; 5	0			0			géant;siège (meuble);nudité;cheveux	"[""géant"", ""siège (meuble)"", ""nudité"", ""cheveux""]"	tm-87an9pkp;tm-9kefvmxz;tm-6m8nrco5;tm-6vklquup	"[""tm-87an9pkp"", ""tm-9kefvmxz"", ""tm-6m8nrco5"", ""tm-6vklquup""]"
004174.jpg	004174.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\004174.jpg	tm-7axvtrsz; tm-trtnhhdd; tm-sz7srifg; tm-hddc4hiq; tm-raszqepq; tm-ywslclwf; tm-eqnskbnq; tm-vwtmvvfn; tm-2exx3nyn; 7; 4; 2; 3	0			0			serviteur;roi;couronne;rencontre;ordre;chevauchée;arbre;cheval;forêt	"[""serviteur"", ""roi"", ""couronne"", ""rencontre"", ""ordre"", ""chevauchée"", ""arbre"", ""cheval"", ""forêt""]"	tm-7axvtrsz;tm-trtnhhdd;tm-sz7srifg;tm-hddc4hiq;tm-raszqepq;tm-ywslclwf;tm-eqnskbnq;tm-vwtmvvfn;tm-2exx3nyn	"[""tm-7axvtrsz"", ""tm-trtnhhdd"", ""tm-sz7srifg"", ""tm-hddc4hiq"", ""tm-raszqepq"", ""tm-ywslclwf"", ""tm-eqnskbnq"", ""tm-vwtmvvfn"", ""tm-2exx3nyn""]"
004272.jpg	004272.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\004272.jpg	tm-wqg2nktt; tm-bsmbjqgw; tm-tbbqwzfn; tm-ivsdfebq; tm-cgt9cj5q; tm-sfrtbltu; tm-tmtutvqn; tm-xzwrkcep; tm-aluq87zb; tm-ljsuoykc; tm-hvmbbgkw; 2; 9; 5; 87	0			0			ange;évêque;dominicain;épée;encensoir;mitre;reliquaire;crosse;transport;encensement;nuée	"[""ange"", ""évêque"", ""dominicain"", ""épée"", ""encensoir"", ""mitre"", ""reliquaire"", ""crosse"", ""transport"", ""encensement"", ""nuée""]"	tm-wqg2nktt;tm-bsmbjqgw;tm-tbbqwzfn;tm-ivsdfebq;tm-cgt9cj5q;tm-sfrtbltu;tm-tmtutvqn;tm-xzwrkcep;tm-aluq87zb;tm-ljsuoykc;tm-hvmbbgkw	"[""tm-wqg2nktt"", ""tm-bsmbjqgw"", ""tm-tbbqwzfn"", ""tm-ivsdfebq"", ""tm-cgt9cj5q"", ""tm-sfrtbltu"", ""tm-tmtutvqn"", ""tm-xzwrkcep"", ""tm-aluq87zb"", ""tm-ljsuoykc"", ""tm-hvmbbgkw""]"
004299.jpg	004299.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\004299.jpg	tm-hwbpfzqq; tm-wqg2nktt; tm-79hdsjl7; tm-bsmbjqgw; tm-trtnhhdd; tm-f4sqsvcv; tm-cuqtzlfj; tm-garwvktz; tm-5vghyucs; tm-9kefvmxz; tm-mqvexyu4; tm-sfrtbltu; tm-sv297fut; tm-gb9xzs44; tm-xfrkgdxw; tm-ymenrpoz; tm-6pbjxilu; 2; 79; 7; 4; 5; 9; 297; 44; 6	0			0			Christ;ange;moine;évêque;roi;Vierge;bâton;trompette;architecture;siège (meuble);croix;mitre;cuve;musique;majesté;jugement;feu	"[""Christ"", ""ange"", ""moine"", ""évêque"", ""roi"", ""Vierge"", ""bâton"", ""trompette"", ""architecture"", ""siège (meuble)"", ""croix"", ""mitre"", ""cuve"", ""musique"", ""majesté"", ""jugement"", ""feu""]"	tm-hwbpfzqq;tm-wqg2nktt;tm-79hdsjl7;tm-bsmbjqgw;tm-trtnhhdd;tm-f4sqsvcv;tm-cuqtzlfj;tm-garwvktz;tm-5vghyucs;tm-9kefvmxz;tm-mqvexyu4;tm-sfrtbltu;tm-sv297fut;tm-gb9xzs44;tm-xfrkgdxw;tm-ymenrpoz;tm-6pbjxilu	"[""tm-hwbpfzqq"", ""tm-wqg2nktt"", ""tm-79hdsjl7"", ""tm-bsmbjqgw"", ""tm-trtnhhdd"", ""tm-f4sqsvcv"", ""tm-cuqtzlfj"", ""tm-garwvktz"", ""tm-5vghyucs"", ""tm-9kefvmxz"", ""tm-mqvexyu4"", ""tm-sfrtbltu"", ""tm-sv297fut"", ""tm-gb9xzs44"", ""tm-xfrkgdxw"", ""tm-ymenrpoz"", ""tm-6pbjxilu""]"
004326.jpg	004326.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\004326.jpg	tm-hwbpfzqq; tm-5adgngxc; tm-pmym9cry; tm-aslmkhsp; tm-8sp9kptm; tm-gb9xzs44; tm-xhwzu6jw; 5; 9; 8; 44; 6	0			1	tm-aslmkhsp	arrestation du christ	Christ;Judas;vièle;arrestation du christ;trahison;musique;baiser	"[""Christ"", ""Judas"", ""vièle"", ""arrestation du christ"", ""trahison"", ""musique"", ""baiser""]"	tm-hwbpfzqq;tm-5adgngxc;tm-pmym9cry;tm-aslmkhsp;tm-8sp9kptm;tm-gb9xzs44;tm-xhwzu6jw	"[""tm-hwbpfzqq"", ""tm-5adgngxc"", ""tm-pmym9cry"", ""tm-aslmkhsp"", ""tm-8sp9kptm"", ""tm-gb9xzs44"", ""tm-xhwzu6jw""]"
004383.jpg	004383.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\004383.jpg	tm-oz9n8wse; tm-hwbpfzqq; tm-wqg2nktt; tm-trtnhhdd; tm-87an9pkp; tm-3r3s7buw; tm-wyrjsgnx; tm-7schjv64; tm-acpsxfaz; tm-llb5qhxg; tm-sz7srifg; tm-v4tpboqn; tm-z78apcet; tm-phfswu6u; tm-j8rdzvec; tm-hddc4hiq; tm-xfrkgdxw; tm-eqnskbnq; tm-hutb5szo; tm-6pbjxilu; tm-c4vyu5zq; tm-qucshbfi; tm-xqrthxrm; 9; 8; 2; 87; 3; 7; 64; 5; 4; 78; 6	0			0			David;Christ;ange;roi;géant;tente;rideau;globe;sceptre;gloire;couronne;table;bouclier;cruche;torche;rencontre;majesté;arbre;nuit;feu;lune (sphère céleste);étoile;soleil (sphère céleste)	"[""David"", ""Christ"", ""ange"", ""roi"", ""géant"", ""tente"", ""rideau"", ""globe"", ""sceptre"", ""gloire"", ""couronne"", ""table"", ""bouclier"", ""cruche"", ""torche"", ""rencontre"", ""majesté"", ""arbre"", ""nuit"", ""feu"", ""lune (sphère céleste)"", ""étoile"", ""soleil (sphère céleste)""]"	tm-oz9n8wse;tm-hwbpfzqq;tm-wqg2nktt;tm-trtnhhdd;tm-87an9pkp;tm-3r3s7buw;tm-wyrjsgnx;tm-7schjv64;tm-acpsxfaz;tm-llb5qhxg;tm-sz7srifg;tm-v4tpboqn;tm-z78apcet;tm-phfswu6u;tm-j8rdzvec;tm-hddc4hiq;tm-xfrkgdxw;tm-eqnskbnq;tm-hutb5szo;tm-6pbjxilu;tm-c4vyu5zq;tm-qucshbfi;tm-xqrthxrm	"[""tm-oz9n8wse"", ""tm-hwbpfzqq"", ""tm-wqg2nktt"", ""tm-trtnhhdd"", ""tm-87an9pkp"", ""tm-3r3s7buw"", ""tm-wyrjsgnx"", ""tm-7schjv64"", ""tm-acpsxfaz"", ""tm-llb5qhxg"", ""tm-sz7srifg"", ""tm-v4tpboqn"", ""tm-z78apcet"", ""tm-phfswu6u"", ""tm-j8rdzvec"", ""tm-hddc4hiq"", ""tm-xfrkgdxw"", ""tm-eqnskbnq"", ""tm-hutb5szo"", ""tm-6pbjxilu"", ""tm-c4vyu5zq"", ""tm-qucshbfi"", ""tm-xqrthxrm""]"
004408.jpg	004408.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\004408.jpg	tm-hwbpfzqq; tm-h5p48lfk; tm-5vghyucs; tm-ourzz25h; tm-fmytavcm; tm-ptgmqu9z; 5; 48; 25; 9	0			0			Christ;soldat;architecture;lit;phylactère;destruction	"[""Christ"", ""soldat"", ""architecture"", ""lit"", ""phylactère"", ""destruction""]"	tm-hwbpfzqq;tm-h5p48lfk;tm-5vghyucs;tm-ourzz25h;tm-fmytavcm;tm-ptgmqu9z	"[""tm-hwbpfzqq"", ""tm-h5p48lfk"", ""tm-5vghyucs"", ""tm-ourzz25h"", ""tm-fmytavcm"", ""tm-ptgmqu9z""]"
004436.jpg	004436.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\004436.jpg	tm-wdxn3qrx; tm-hwbpfzqq; tm-o22sq8nn; tm-au7bpxvz; tm-iyb3nxp6; tm-iszsi3kg; tm-trtnhhdd; tm-f4sqsvcv; tm-nhsyxfkz; tm-no3znyxx; tm-wyrjsgnx; tm-sjjzv77s; tm-9kefvmxz; tm-y59iwacz; tm-i94jpy9p; tm-l66mtgn3; tm-kgblaf2c; tm-jbk9lrul; tm-iv4xh9vr; tm-kgksjk9x; tm-tcyhlpcy; tm-ymenrpoz; tm-kdyvsq43; tm-qucshbfi; tm-hywxiizx; 3; 22; 8; 7; 6; 4; 77; 9; 59; 94; 66; 2; 43	0			2	tm-kgblaf2c; tm-jbk9lrul	jugement de Salomon; adoration des mages	Salomon;Christ;enfant;Hérode;mage;tailleur;roi;Vierge;tambour;lyre;rideau;escalier;siège (meuble);carquois;autel;lampe;jugement de Salomon;adoration des mages;don;comparution;adoration;jugement;construction;étoile;ciel	"[""Salomon"", ""Christ"", ""enfant"", ""Hérode"", ""mage"", ""tailleur"", ""roi"", ""Vierge"", ""tambour"", ""lyre"", ""rideau"", ""escalier"", ""siège (meuble)"", ""carquois"", ""autel"", ""lampe"", ""jugement de Salomon"", ""adoration des mages"", ""don"", ""comparution"", ""adoration"", ""jugement"", ""construction"", ""étoile"", ""ciel""]"	tm-wdxn3qrx;tm-hwbpfzqq;tm-o22sq8nn;tm-au7bpxvz;tm-iyb3nxp6;tm-iszsi3kg;tm-trtnhhdd;tm-f4sqsvcv;tm-nhsyxfkz;tm-no3znyxx;tm-wyrjsgnx;tm-sjjzv77s;tm-9kefvmxz;tm-y59iwacz;tm-i94jpy9p;tm-l66mtgn3;tm-kgblaf2c;tm-jbk9lrul;tm-iv4xh9vr;tm-kgksjk9x;tm-tcyhlpcy;tm-ymenrpoz;tm-kdyvsq43;tm-qucshbfi;tm-hywxiizx	"[""tm-wdxn3qrx"", ""tm-hwbpfzqq"", ""tm-o22sq8nn"", ""tm-au7bpxvz"", ""tm-iyb3nxp6"", ""tm-iszsi3kg"", ""tm-trtnhhdd"", ""tm-f4sqsvcv"", ""tm-nhsyxfkz"", ""tm-no3znyxx"", ""tm-wyrjsgnx"", ""tm-sjjzv77s"", ""tm-9kefvmxz"", ""tm-y59iwacz"", ""tm-i94jpy9p"", ""tm-l66mtgn3"", ""tm-kgblaf2c"", ""tm-jbk9lrul"", ""tm-iv4xh9vr"", ""tm-kgksjk9x"", ""tm-tcyhlpcy"", ""tm-ymenrpoz"", ""tm-kdyvsq43"", ""tm-qucshbfi"", ""tm-hywxiizx""]"
004461.jpg	004461.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\004461.jpg	tm-hwbpfzqq; tm-wqg2nktt; tm-sgdxywfz; tm-waq6byod; tm-7qal9wnf; tm-ghihzzvb; tm-vmxb3wbp; tm-4xxwfoco; tm-77fuu38c; tm-ao9wtg4s; tm-2ujduhzq; tm-kc5ukqpv; tm-feygm5h3; tm-6m8nrco5; tm-ggnrmwc7; tm-bqscor5q; tm-3kaurvkz; tm-cw2gwrjp; tm-vwtmvvfn; tm-vhj2urqn; tm-bvwymnol; tm-ssrd3vfj; 2; 6; 7; 9; 3; 4; 77; 38; 5; 8	0			1	tm-4xxwfoco	incrédulité de saint Thomas	Christ;ange;saint Pierre;saint Thomas;tissu;ville;fonts baptismaux;incrédulité de saint Thomas;incrédulité;apparition;prière;baptême;preuve;nudité;toucher;oiseau;bœuf;serpent;cheval;eau;plaie;sang	"[""Christ"", ""ange"", ""saint Pierre"", ""saint Thomas"", ""tissu"", ""ville"", ""fonts baptismaux"", ""incrédulité de saint Thomas"", ""incrédulité"", ""apparition"", ""prière"", ""baptême"", ""preuve"", ""nudité"", ""toucher"", ""oiseau"", ""bœuf"", ""serpent"", ""cheval"", ""eau"", ""plaie"", ""sang""]"	tm-hwbpfzqq;tm-wqg2nktt;tm-sgdxywfz;tm-waq6byod;tm-7qal9wnf;tm-ghihzzvb;tm-vmxb3wbp;tm-4xxwfoco;tm-77fuu38c;tm-ao9wtg4s;tm-2ujduhzq;tm-kc5ukqpv;tm-feygm5h3;tm-6m8nrco5;tm-ggnrmwc7;tm-bqscor5q;tm-3kaurvkz;tm-cw2gwrjp;tm-vwtmvvfn;tm-vhj2urqn;tm-bvwymnol;tm-ssrd3vfj	"[""tm-hwbpfzqq"", ""tm-wqg2nktt"", ""tm-sgdxywfz"", ""tm-waq6byod"", ""tm-7qal9wnf"", ""tm-ghihzzvb"", ""tm-vmxb3wbp"", ""tm-4xxwfoco"", ""tm-77fuu38c"", ""tm-ao9wtg4s"", ""tm-2ujduhzq"", ""tm-kc5ukqpv"", ""tm-feygm5h3"", ""tm-6m8nrco5"", ""tm-ggnrmwc7"", ""tm-bqscor5q"", ""tm-3kaurvkz"", ""tm-cw2gwrjp"", ""tm-vwtmvvfn"", ""tm-vhj2urqn"", ""tm-bvwymnol"", ""tm-ssrd3vfj""]"
004504.jpg	004504.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\004504.jpg	tm-up8srrns; tm-xbza6vtn; tm-zuecdty7; tm-be7ccsta; tm-9kefvmxz; tm-cpdgl5r4; tm-srwycs5r; tm-hddc4hiq; tm-iv4xh9vr; tm-pphjzwxj; 8; 6; 7; 9; 5; 4	0			0			pape;diacre;clerc;armoiries;siège (meuble);écrit;tiare;rencontre;don;bénédiction	"[""pape"", ""diacre"", ""clerc"", ""armoiries"", ""siège (meuble)"", ""écrit"", ""tiare"", ""rencontre"", ""don"", ""bénédiction""]"	tm-up8srrns;tm-xbza6vtn;tm-zuecdty7;tm-be7ccsta;tm-9kefvmxz;tm-cpdgl5r4;tm-srwycs5r;tm-hddc4hiq;tm-iv4xh9vr;tm-pphjzwxj	"[""tm-up8srrns"", ""tm-xbza6vtn"", ""tm-zuecdty7"", ""tm-be7ccsta"", ""tm-9kefvmxz"", ""tm-cpdgl5r4"", ""tm-srwycs5r"", ""tm-hddc4hiq"", ""tm-iv4xh9vr"", ""tm-pphjzwxj""]"
004531.jpg	004531.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\004531.jpg	tm-e8j9oa98; tm-79hdsjl7; tm-h5p48lfk; tm-trtnhhdd; tm-yjcvnnjh; tm-garwvktz; tm-g3shdfgs; tm-ghihzzvb; tm-tvxtxobh; tm-vkekjzsk; tm-be7ccsta; tm-i6z6pybr; tm-sz7srifg; tm-femqgmrh; tm-qpyshudm; tm-crhhzaac; tm-gb9xzs44; tm-w7lp2rnh; tm-ywslclwf; tm-ucjtd5aa; tm-vwtmvvfn; 8; 9; 98; 79; 7; 5; 48; 3; 6; 44; 2	0			0			Philippe II Auguste;moine;soldat;roi;échelle;trompette;église (architecture);ville;tour;porte;armoiries;bannière;couronne;char;armure;caparaçon;musique;entrée;chevauchée;siège (conflit);cheval	"[""Philippe II Auguste"", ""moine"", ""soldat"", ""roi"", ""échelle"", ""trompette"", ""église (architecture)"", ""ville"", ""tour"", ""porte"", ""armoiries"", ""bannière"", ""couronne"", ""char"", ""armure"", ""caparaçon"", ""musique"", ""entrée"", ""chevauchée"", ""siège (conflit)"", ""cheval""]"	tm-e8j9oa98;tm-79hdsjl7;tm-h5p48lfk;tm-trtnhhdd;tm-yjcvnnjh;tm-garwvktz;tm-g3shdfgs;tm-ghihzzvb;tm-tvxtxobh;tm-vkekjzsk;tm-be7ccsta;tm-i6z6pybr;tm-sz7srifg;tm-femqgmrh;tm-qpyshudm;tm-crhhzaac;tm-gb9xzs44;tm-w7lp2rnh;tm-ywslclwf;tm-ucjtd5aa;tm-vwtmvvfn	"[""tm-e8j9oa98"", ""tm-79hdsjl7"", ""tm-h5p48lfk"", ""tm-trtnhhdd"", ""tm-yjcvnnjh"", ""tm-garwvktz"", ""tm-g3shdfgs"", ""tm-ghihzzvb"", ""tm-tvxtxobh"", ""tm-vkekjzsk"", ""tm-be7ccsta"", ""tm-i6z6pybr"", ""tm-sz7srifg"", ""tm-femqgmrh"", ""tm-qpyshudm"", ""tm-crhhzaac"", ""tm-gb9xzs44"", ""tm-w7lp2rnh"", ""tm-ywslclwf"", ""tm-ucjtd5aa"", ""tm-vwtmvvfn""]"
004565.jpg	004565.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\004565.jpg	tm-msmpj5ea; tm-vdencmrw; tm-msrzrwxs; tm-6nqxszjv; tm-subvzpni; tm-yjcvnnjh; tm-vkekjzsk; tm-intsras3; tm-sw7yity5; tm-3axmqq3f; tm-6m8nrco5; 5; 6; 3; 7; 8	0			2	tm-intsras3; tm-sw7yity5	création d'Ève; création d'adam	Adam;Ève;Dieu;archange;saint Michel;échelle;porte;création d'Ève;création d'adam;sommeil;nudité	"[""Adam"", ""Ève"", ""Dieu"", ""archange"", ""saint Michel"", ""échelle"", ""porte"", ""création d'Ève"", ""création d'adam"", ""sommeil"", ""nudité""]"	tm-msmpj5ea;tm-vdencmrw;tm-msrzrwxs;tm-6nqxszjv;tm-subvzpni;tm-yjcvnnjh;tm-vkekjzsk;tm-intsras3;tm-sw7yity5;tm-3axmqq3f;tm-6m8nrco5	"[""tm-msmpj5ea"", ""tm-vdencmrw"", ""tm-msrzrwxs"", ""tm-6nqxszjv"", ""tm-subvzpni"", ""tm-yjcvnnjh"", ""tm-vkekjzsk"", ""tm-intsras3"", ""tm-sw7yity5"", ""tm-3axmqq3f"", ""tm-6m8nrco5""]"
004609.jpg	004609.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\004609.jpg	tm-wcpcxfuc; tm-n73pmm5x; tm-trtnhhdd; tm-sz7srifg; tm-rwshbisj; tm-9kefvmxz; tm-ourzz25h; tm-brqtzl8a; tm-8wzhnyzg; tm-kgksjk9x; tm-efumv9dg; 73; 5; 7; 9; 25; 8	0			0			Noé;sage-femme;roi;couronne;plat;siège (meuble);lit;lance;salutation;comparution;naissance	"[""Noé"", ""sage-femme"", ""roi"", ""couronne"", ""plat"", ""siège (meuble)"", ""lit"", ""lance"", ""salutation"", ""comparution"", ""naissance""]"	tm-wcpcxfuc;tm-n73pmm5x;tm-trtnhhdd;tm-sz7srifg;tm-rwshbisj;tm-9kefvmxz;tm-ourzz25h;tm-brqtzl8a;tm-8wzhnyzg;tm-kgksjk9x;tm-efumv9dg	"[""tm-wcpcxfuc"", ""tm-n73pmm5x"", ""tm-trtnhhdd"", ""tm-sz7srifg"", ""tm-rwshbisj"", ""tm-9kefvmxz"", ""tm-ourzz25h"", ""tm-brqtzl8a"", ""tm-8wzhnyzg"", ""tm-kgksjk9x"", ""tm-efumv9dg""]"
004642.jpg	004642.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\004642.jpg	tm-ritjr7hs; tm-sqydxkbw; tm-aovfxbwf; tm-9dznienk; tm-ggrtv3lm; 7; 9; 3	1	tm-sqydxkbw	abattage du cochon	0			paysan;abattage du cochon;meurtre;cochon;zodiaque-capricorne	"[""paysan"", ""abattage du cochon"", ""meurtre"", ""cochon"", ""zodiaque-capricorne""]"	tm-ritjr7hs;tm-sqydxkbw;tm-aovfxbwf;tm-9dznienk;tm-ggrtv3lm	"[""tm-ritjr7hs"", ""tm-sqydxkbw"", ""tm-aovfxbwf"", ""tm-9dznienk"", ""tm-ggrtv3lm""]"
